"xp_per_min","tower_damage","kills","hero_healing","hero_damage","gold_per_min","assists","deaths","dmg_dealt","last_hits","match_id","start_time","win","hero_id","account_id","leaguename"
505,1990,6,0,14682,491,11,2,14682,163,3230649585,1496841522,true,15,111620041,"EPICENTER: Moscow Season 2"
503,1258,4,0,15635,431,2,6,15635,281,3208642510,1495944913,false,43,111620041,"Masters Manila 2017"
502,1516,8,0,15809,443,8,7,15809,138,3295524365,1499306413,true,7,111620041,"2017 Mars Dota 2 League"
498,9593,4,0,12393,607,7,1,12393,185,2674540208,1475063369,true,59,111620041,"MarsTV Dota 2 League 2016"
496,3008,12,0,32777,750,11,5,32777,578,3082689492,1490684624,false,11,111620041,"Dota 2 Asia Championships 2017"
496,826,4,0,11104,519,2,5,11104,202,2785402676,1479428752,false,74,111620041,"The Summit 5"
492,309,4,0,17813,430,4,9,17813,162,2929231317,1484990773,false,106,111620041,"Dota Pit League Season Five"
489,5632,13,0,40173,753,12,4,40173,517,3092888633,1491114007,true,74,111620041,"Dota 2 Asia Championships 2017"
488,7674,9,0,20543,588,6,0,20543,95,3352291980,1501707728,true,45,111620041,"The International 2017"
487,0,4,0,20999,509,5,5,20999,189,2798856666,1479947735,false,34,111620041,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
483,3316,8,1218,18660,555,8,4,18660,315,2772109351,1478913727,false,47,111620041,"Northern Arena BEAT Invitational presented by Bell"
482,748,1,0,14777,466,5,2,14777,237,2823859767,1480904721,false,94,111620041,"The Boston Major 2016"
476,3425,9,0,20655,550,10,2,20655,195,3298053396,1499417093,true,75,111620041,"2017 Mars Dota 2 League"
475,355,1,0,26569,417,7,7,26569,216,3241825287,1497193111,false,13,111620041,"EPICENTER: Moscow Season 2"
474,15584,6,0,60538,1204,12,4,60538,816,3081228796,1490616650,false,73,111620041,"Dota 2 Asia Championships 2017"
472,0,2,0,4461,426,0,4,4461,152,3084258454,1490753606,false,74,111620041,"Dota 2 Asia Championships 2017"
468,232,4,0,14329,449,4,6,14329,237,2680673019,1475310336,false,15,111620041,"MarsTV Dota 2 League 2016"
467,332,7,0,16974,394,14,3,16974,177,3356035808,1501879387,true,7,111620041,"The International 2017"
466,1374,4,0,10909,470,2,2,10909,158,2790192905,1479596122,false,9,111620041,"The Summit 5"
463,2292,4,0,13232,544,10,3,13232,84,3358044227,1501958415,true,13,111620041,"The International 2017"
460,275,1,0,10281,392,7,6,10281,199,3094916518,1491193673,false,8,111620041,"Dota 2 Asia Championships 2017"
457,524,3,0,12250,428,3,11,12250,226,3352328440,1501710110,false,25,111620041,"The International 2017"
456,2271,5,0,17538,459,17,9,17538,213,2752323730,1478127462,true,13,111620041,"Dota Pit League Season Five"
456,677,3,0,10515,514,1,5,10515,185,2792518645,1479672003,false,74,111620041,"The Summit 5"
456,144,4,0,7122,515,7,2,7122,80,2752288404,1478125007,true,78,111620041,"Dota Pit League Season Five"
455,1386,4,0,23136,487,7,8,23136,303,3137325049,1493026942,false,95,111620041,"Kiev Major"
455,150,4,1662,14504,457,3,4,14504,220,2678164166,1475219694,false,98,111620041,"MarsTV Dota 2 League 2016"
448,1524,2,0,14803,407,4,7,14803,251,3362331228,1502140025,false,9,111620041,"The International 2017"
447,827,4,0,20873,445,4,6,20873,271,2683682946,1475409481,false,13,111620041,"MarsTV Dota 2 League 2016"
445,2956,6,0,32287,416,12,8,32287,320,3355760651,1501866460,false,45,111620041,"The International 2017"
445,319,0,0,7405,431,6,4,7405,217,2682879623,1475385959,false,76,111620041,"MarsTV Dota 2 League 2016"
444,2347,12,0,53962,742,10,6,53962,708,3080691275,1490595599,false,74,111620041,"Dota 2 Asia Championships 2017"
441,0,1,0,27879,511,4,6,27879,364,2673965642,1475040536,false,34,111620041,"MarsTV Dota 2 League 2016"
438,884,2,0,6440,446,0,3,6440,202,2836078773,1481381939,false,9,111620041,"The Boston Major 2016"
435,1629,4,0,15115,501,12,2,15115,261,2829658696,1481141315,true,9,111620041,"The Boston Major 2016"
429,878,3,0,19388,417,1,4,19388,197,3241665434,1497189487,false,9,111620041,"EPICENTER: Moscow Season 2"
