match_id,Radiant,Dire,radiant_assists,radiant_barracks,radiant_denies,radiant_gpm,radiant_healing,radiant_hero_damage,radiant_kills,radiant_last_hits,radiant_total_levels,radiant_tower_damage,radiant_tower_status,radiant_xpm,dire_assists,dire_barracks,dire_denies,dire_gpm,dire_healing,dire_hero_damage,dire_kills,dire_last_hits,dire_total_levels,dire_tower_damage,dire_tower_status,dire_xpm,first_blood,match_duration,radiant_winner
4063350513,PSG.LGD,Winstrike,47,63,52,2224,683,68525,36,528,79,6989,1983,2460,24,63,34,1422,2236,41111,14,341,63,721,1828,1640,10,1446,1
4063359785,OG,Evil Geniuses,45,63,35,1748,9264,58286,25,546,81,4168,1798,1865,74,63,18,2150,1918,83888,33,750,103,6385,1956,2829,0,2021,0
4063369023,Team Liquid,Invictus Gaming,85,63,55,2423,4546,103152,38,988,113,20926,1846,2905,69,0,53,1900,3581,86909,30,757,103,2805,0,2369,105,2493,1
4063378608,Mineski,Fnatic,40,15,52,2107,1300,51433,16,1130,105,4826,36,2366,70,63,52,2427,2529,88381,33,1365,114,14307,1828,2695,164,2574,0
4063402142,Team Secret,paiN Gaming,100,63,80,2344,1792,96103,40,732,109,12222,1982,3110,36,15,44,1998,1474,65995,17,735,98,2167,1540,2548,226,2046,1
4063413580,TNC Predator,Virtus.pro,29,0,48,2078,9238,80079,15,1321,109,3265,1536,2252,56,63,51,2391,5101,69704,32,1198,115,20135,1956,2549,271,2969,0
4063430773,OpTic Gaming,Newbee,73,63,62,2101,2204,100084,36,656,103,12462,1846,2712,51,48,32,1830,5490,72892,27,689,94,2084,1920,2251,210,2108,1
4063439681,Vici Gaming,Team Serenity,71,63,28,2120,15215,68812,33,687,100,11914,1974,2653,61,51,36,1873,441,72848,29,694,91,2622,1796,2271,205,2063,1
4063465788,paiN Gaming,Team Secret,78,63,58,2276,1445,106457,38,956,111,10166,1846,2640,81,63,54,2092,1025,96079,39,909,113,3432,260,2596,0,2634,1
4063477071,Virtus.pro,TNC Predator,72,0,54,1939,17976,107468,31,1143,114,5465,0,2569,87,63,19,2334,1662,122215,39,1098,118,17185,1924,2690,82,2972,0
4063481435,OpTic Gaming,Newbee,65,63,62,2208,615,63439,26,743,90,6929,1983,2608,32,63,19,1703,298,34268,15,597,76,1628,1572,1944,163,1746,1
4063490254,Team Serenity,Vici Gaming,36,63,60,2176,1132,51400,24,627,81,10777,1975,2391,8,15,36,1584,426,24720,6,541,67,1609,1572,1669,10,1558,1
4063518923,OG,Mineski,45,63,59,2242,3271,61149,22,669,84,16021,1855,2356,31,49,17,1897,1341,48144,14,520,70,539,1792,1763,82,1675,1
4063521022,VGJ Thunder,Winstrike,87,63,28,2299,11143,88460,33,716,99,16155,1844,2835,21,48,57,1910,3970,58585,16,705,79,5699,384,1845,109,1923,1
4063527110,Fnatic,Invictus Gaming,56,63,49,2297,6011,67078,29,807,97,8228,1982,2371,24,3,69,1506,636,46553,11,630,82,631,1540,1730,255,2105,1
4063532336,PSG.LGD,Evil Geniuses,29,3,25,1818,280,56936,16,613,75,990,1542,1719,75,63,46,2302,4145,87587,37,668,99,12069,2038,2715,137,1926,0
4063558826,OG,Mineski,51,63,42,2674,625,89276,30,1580,119,20735,1974,2880,55,0,22,2067,5356,67836,29,1286,112,2102,0,2279,0,2967,1
4063563567,VGJ Thunder,Winstrike,60,63,31,2497,5263,78265,34,934,107,18866,1983,2774,26,48,28,1514,4599,76651,11,694,83,158,256,1750,146,2206,1
4063571098,Invictus Gaming,Fnatic,82,63,51,2211,4664,113070,38,1299,121,17020,1846,2610,16,2,32,1895,2347,60767,9,1220,97,1465,1536,1635,43,3195,1
4063572817,Evil Geniuses,PSG.LGD,64,63,73,2359,2808,97435,39,699,104,20233,2039,2646,54,0,18,1748,1569,75150,25,671,95,1315,0,2215,2,2192,1
4063600107,VGJ Storm,paiN Gaming,93,63,48,2333,11216,93770,45,807,107,17645,1982,2929,27,48,46,1773,1397,71750,17,685,89,2389,1536,2041,78,2110,1
4063601628,TNC Predator,OpTic Gaming,76,63,33,2410,6719,88273,33,933,108,14054,1846,2749,24,48,38,1955,1240,62589,12,851,85,926,1792,1755,120,2284,1
4063611898,Vici Gaming,Team Secret,77,63,39,2200,22916,88728,36,796,111,14745,1846,3054,33,15,27,1680,460,72723,14,660,87,4476,516,1996,4,2137,1
4063619584,Team Serenity,Newbee,26,0,73,1903,0,55727,17,961,93,3926,0,2131,65,63,31,2460,3396,69726,32,947,108,24783,1956,2834,106,2304,0
4063643412,VGJ Storm,paiN Gaming,90,63,73,2672,1266,102057,38,1381,120,18187,1846,2776,77,28,45,2312,1215,113669,35,1253,120,3282,544,2805,175,2850,1
4063646692,OpTic Gaming,TNC Predator,39,51,61,1778,870,64074,17,793,91,5266,1798,1930,61,63,43,2144,8102,70839,27,907,106,9107,1924,2523,0,2337,0
